item,quantity_full_robot,minimum_test_quantity,status,purpose_or_blocker,evidence
Tab5,1,0,retained_candidate,face; independent supply route to qualify,board/mechanical/prototype/bom.csv
XL330-M288-T,6,1,retained_candidate,single joint after bench electrical gate; not continuous stall rated,board/mechanical/prototype/bom.csv
XC330-M288-T,6,1,retained_candidate,second actuator type qualification after first stage,board/mechanical/prototype/bom.csv
Sole and yoke candidate,2 sets,1 set,unpowered_test_piece,print material and orientation must be recorded; strength not released,board/mechanical/prototype/foot_candidate/README.md
NBK SLH-M2-10 screw and PTS A56202 external nut,2 screws; 2 nuts,1 set,nominal_fit_candidate,Preferred external-nut candidate; full assembly tool access thread tolerance preload and anti-loosening pending,validation/sole_external_nut_v1/README.md
SCW-SOLE-SPACER-01 revA,2,1,custom_candidate,SUS304 proposed; OD5.95-6 ID2.3-2.35 thickness0.85-0.95; rounded edge candidate not manufacturing release,docs/prototype/mechanical/sole_spacer/specification.json
Ultrafuse TPU95A sole,2,1,test_material_candidate,friction retention creep and print process unqualified,validation/tpu_retention_material_review_v1
NP-F550 battery,1,0,hold,exact supplied pack current temperature and protection specification required,board/mechanical/prototype/bom.csv
Pololu D42V55F5,unselected,1,candidate_for_bench,actual DC supply peak and thermal suitability unqualified; 9.63 A is motor-side setting sum,https://www.pololu.com/product/5571
Vishay AC10 5.1 ohm,2,2,evaluation_candidate,exact order code thermal mounting SOA of companion switch unresolved; 4.7 ohm card remains historical,validation/brake_51ohm_envelope_faults_v1
360 ohm bleed resistor,2,2,candidate,CRCW1206e3 derived code needs purchasing verification and thermal check,schematics/power/passive_discharge_candidate.json
INA180A1,2,1,candidate,shunt comparator latch and fault isolation not released,validation/brake_current_sensor_budget_v1
0.1 ohm shunt,2,1,specification_only,part number pulse rating tolerance and Kelvin layout unresolved,validation/brake_shunt_insertion_v1
TPS70933DBVR,1,1,candidate,auxiliary supply; effective capacitance and pin level review pending,schematics/power/aux_sequence_candidate.json
TPS3840PL30 and TPS3700,1 each,1 each,candidate,sequence only; not complete battery or fault protection,schematics/power/aux_sequence_candidate.json
AO3400A brake MOSFET and gate drive,2 MOSFETs for common brake,1 branch,evaluation_candidate,MOSFET candidate only; actual gate driver SOA temperature and control-power-loss behavior unqualified,schematics/power/brake_mosfet_candidate.json
Fuse reverse protection physical disconnect latch reset,TBD,1 bench chain,unselected,DC interrupt current wiring coordination and no automatic restart required,docs/prototype/engineering/prototype_decision/DECISION_ja.md
Connectors harness and fasteners,TBD,1 test harness,unselected,wire current temperature voltage drop mating and strain relief required,docs/prototype/engineering/prototype_decision/DECISION_ja.md
Current limited bench supply and independent disconnect,external equipment,1 set,select_before_power,5 V supply plus regeneration sink or qualified external clamp; no assumed sink capability,docs/prototype/engineering/prototype_decision/TEST_PLAN_ja.md
JST EHR-3 and SEH-001T-P0.6,12 housings and 36 contacts,1 housing and 3 contacts,candidate_not_released,Individual supply branch; AWG22 wire part and crimp tool unresolved; retain existing servo header,schematics/power/servo_connector_candidate.json
Alpha Wire 3051 AWG22,not selected for robot,250 mm per conductor planning length,stationary_jig_candidate,exact ordering code crimp process resistance upper bound pending; not dynamic flex qualified,validation/servo_wire_selection_v1
UCC27517DBVR gate driver,2,1,evaluation_candidate,Load-side bus powered; comparator reference gate network and startup qualification pending,schematics/power/brake_gate_driver_candidate.json
TPS3700DDCR brake detector,2 additional to battery monitor,1,evaluation_candidate,Bus powered internal reference; divider parts output loading and startup protection pending,schematics/power/brake_detector_candidate.json
TNPW0603127KBYEA and TNPW060310K0BYEA,2 each,1 each,evaluation_candidate,Derived order codes; 0.1 percent 10ppm divider; board leakage actual temperature and ordering confirmation pending,validation/brake_divider_parts_v1/README.md
TPS70933DBVR sensor supply,2 additional to upstream AUX regulator,1,evaluation_candidate,Dedicated sensor rails fed upstream of main disconnect; capacitors validity monitor and default-off isolation pending,schematics/power/brake_sensor_supply_candidate.json
TPS259823ONRGE main eFuse,rail count TBD,1,evaluation_candidate,Forward overcurrent candidate only; reverse isolation manual rearm and current coordination pending,schematics/power/main_efuse_candidate.json
SN74HCS74PW permission latch,1,1,evaluation_candidate,Direct single-FF wiring rejected; healthy release qualification POR debounce and default-off EN stage pending,schematics/power/manual_rearm_latch_candidate.json
MAX6816EUS+T enable debounce,1,1,evaluation_candidate,Active-low output needs qualified inverter; UVLO transparent; separate stop path,schematics/power/manual_button_candidate.json
SN74LVC1G04DBVR button inverter,1,1,evaluation_candidate,Static input margin conditional on logic rail; input edge-rate and clock compatibility pending,validation/manual_button_inverter_v1/README.md
NBK SNS-M3-16 yaw rear main bolts,8,4,preferred_candidate_not_released,SCM435 black oxide 12.9; preserve old 8.8 screening; washer fillet seating preload and full tolerances pending,docs/prototype/mechanical/yaw_support/rear_bolt_candidate.json
Nexperia 74LVC1G17GV release MR buffer,1,1,preferred_schmitt_candidate,Unlimited input rise/fall; MR DC output checked; input threshold interval power sequencing and footprint pending,validation/manual_release_schmitt_buffer_v1/README_ja.md
TPS3808G33DBVR manual rearm rail supervisor,1,1,pin_candidate_not_released,Separate from release timer; reset fanout transient and external fault sinks pending,schematics/power/manual_rearm_supervisor_candidate.json
74LVC1G17GV main EN buffer,1,1,conditional_candidate,Separate from release MR buffer; brownout inhibit and command source incomplete,schematics/power/main_enable_driver_candidate.json
